,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Range,UpperRange,LowerRange,Delta365,Theta365,Rho365,Vega365,Gamma365,CalcIV365
0,2017-10-25,BANKNIFTY,2017-11-09,CE,24000.0,0.0,0.0,0.0,851.4,0.0,1178.7,0.0,0.0,0.0,0.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,0.90621843045,-12.139157239,8.83298019095,8.49693885234,0.000184176189766,1e-05
1,2017-10-25,BANKNIFTY,2017-11-09,PE,24000.0,0.0,0.0,0.0,300.0,300.0,81.45,0.0,0.0,0.0,0.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,-0.0937815695504,-4.28756210685,-0.98151372422,8.49693885234,0.000184176189766,1e-05
2,2017-10-25,BANKNIFTY,2017-11-09,CE,24100.0,0.0,0.0,0.0,787.8,0.0,1095.5,0.0,0.0,0.0,0.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,0.885570280092,-12.7861011618,8.65690947019,9.81651151165,0.00021277870989,1e-05
3,2017-10-25,BANKNIFTY,2017-11-09,PE,24100.0,0.0,0.0,0.0,322.7,0.0,98.0,0.0,0.0,0.0,0.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,-0.114429719908,-4.90179104995,-1.19847816963,9.81651151165,0.00021277870989,1e-05
4,2017-10-25,BANKNIFTY,2017-11-09,CE,24200.0,0.0,0.0,0.0,727.1,0.0,1014.8,0.0,0.0,0.0,0.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,0.86197951334,-13.4387470767,8.4496190656,11.1874696496,0.000242495040744,1e-05
5,2017-10-25,BANKNIFTY,2017-11-09,PE,24200.0,0.0,0.0,0.0,179.0,179.0,117.05,0.0,0.0,0.0,520.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,-0.13802048666,-5.52172198508,-1.44666229887,11.1874696496,0.000242495040744,1e-05
6,2017-10-25,BANKNIFTY,2017-11-09,CE,24300.0,0.0,0.0,0.0,669.25,0.0,936.8,0.0,0.0,0.0,0.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,0.835388558301,-14.0783443505,8.2103939618,12.5793639192,0.000272665174668,1e-05
7,2017-10-25,BANKNIFTY,2017-11-09,PE,24300.0,0.0,0.0,0.0,525.0,525.0,138.8,0.0,0.0,0.0,0.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,-0.164611441699,-6.12860427925,-1.72678112732,12.5793639192,0.000272665174668,1e-05
8,2017-10-25,BANKNIFTY,2017-11-09,CE,24400.0,0.0,0.0,0.0,614.35,0.0,862.65,0.0,0.0,0.0,0.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,0.805813333294,-14.6842325322,7.93927536064,13.9575326748,0.000302537799936,1e-05
9,2017-10-25,BANKNIFTY,2017-11-09,PE,24400.0,0.0,0.0,0.0,446.0,0.0,164.35,0.0,0.0,0.0,0.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,-0.194186666706,-6.70177748121,-2.03879345312,13.9575326748,0.000302537799936,1e-05
10,2017-10-25,BANKNIFTY,2017-11-09,CE,24500.0,0.0,0.0,0.0,562.4,0.0,789.55,0.0,0.0,0.0,0.0,0.0,25035.9,24980.65,25157.8,24560.75,25035.9,855272765.0,2.445116e+11,17.9103551563,14.9408265477,0.0330432910091,15,909.005693371,25944.9056934,24126.8943066,0.773349886648,-15.2347443605,7.63713224543,15.2845186227,0.000331301007488,1e-05
